Delta,Feature,Mu_star,Morris_sensitivity
2e-06,AGE75PLUS,2.096559297484479e-05,1.8299109002496812e-06
2e-06,VaccinationFull,-0.000847438797858215,-0.00015708738956465084
4e-06,AGE75PLUS,0.00031936792480431183,2.78749495657352e-05
4e-06,VaccinationFull,-0.0005663092556955234,-0.00010497518273690611
6e-06,AGE75PLUS,0.00022085346236001268,1.9276447778766523e-05
6e-06,VaccinationFull,-0.0004507602489591629,-8.355618247296017e-05
8e-06,AGE75PLUS,0.00016873728664129343,1.4727663580702688e-05
8e-06,VaccinationFull,-0.00039757196905423,-7.369681791847373e-05
1e-05,AGE75PLUS,0.00013651459971120527,1.1915215293671219e-05
1e-05,VaccinationFull,-0.00036122763714158715,-6.695976948493776e-05
2e-05,AGE75PLUS,-0.0003425253752265267,-2.989616933282916e-05
2e-05,VaccinationFull,-0.00032782563560666394,-6.07681327076074e-05
4e-05,AGE75PLUS,-0.00016392473007206769,-1.4307615851327194e-05
4e-05,VaccinationFull,-0.0002831784523852331,-5.2492007657167264e-05
6e-05,AGE75PLUS,-0.00011463573279995624,-1.0005592365569751e-05
6e-05,VaccinationFull,-0.0002708532250000213,-5.0207314295679694e-05
8e-05,AGE75PLUS,-8.028869127866697e-05,-7.007726970274346e-06
8e-05,VaccinationFull,-0.0002640413926613194,-4.894462374747354e-05
0.0001,AGE75PLUS,-6.67039400124664e-05,-5.822027884680746e-06
0.0001,VaccinationFull,-0.00027934270185233533,-5.178098517417854e-05
0.0002,AGE75PLUS,1.682012345481866e-05,1.468087608609403e-06
0.0002,VaccinationFull,-0.00024557618489409955,-4.5521779179520696e-05
0.0004,AGE75PLUS,1.8647465478876153e-05,1.6275809791198014e-06
0.0004,VaccinationFull,-0.00023691120061574607,-4.391557497416046e-05
0.0006,AGE75PLUS,1.0466119311192403e-05,9.1349983918146e-07
0.0006,VaccinationFull,-0.00023788244759333078,-4.409561234407666e-05
0.0008,AGE75PLUS,-5.1253727462254076e-05,-4.473508317849021e-06
0.0008,VaccinationFull,-0.00023980885998570688,-4.445270608902694e-05
0.001,AGE75PLUS,-3.6370538903861425e-06,-3.174479523092231e-07
0.001,VaccinationFull,-0.00023351096262782582,-4.3285282248867605e-05
0.002,AGE75PLUS,-7.013706051532721e-06,-6.121676200738078e-07
0.002,VaccinationFull,-0.00022742331681313,-4.2156832156611225e-05
0.004,AGE75PLUS,2.6050225761994077e-05,2.273705882444325e-06
0.004,VaccinationFull,-0.00023562967874515871,-4.367802280422281e-05
0.006,AGE75PLUS,2.4295548577224398e-05,2.120554816758656e-06
0.006,VaccinationFull,-0.00022277800849695358,-4.129574418311346e-05
0.008,AGE75PLUS,4.78063168901404e-06,4.1726127414102387e-07
0.008,VaccinationFull,-0.0002151456392339549,-3.9880952971349115e-05
0.01,AGE75PLUS,3.903126324866899e-06,3.4067118518875537e-07
0.01,VaccinationFull,-0.00015434826663913284,-2.8611111919172112e-05
